Year,Date,Column1,Library Code,as_library_code,Catalog Title,Call Number,as_call_number_category,Circulation,Item Category
2022,5/4/2022,,EL,Elma,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/4/2022,,HA,Hawks Prairie,Fishing Rod and Tackle Box,KIT TRL_570 FISHING ROD&TACKLE #2-HA,Fishing Kit,1,K-FISHING
2022,5/5/2022,,IL,Ilwaco,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/5/2022,,MS,Montesano,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/5/2022,,OP,Ocean Park,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,5/5/2022,,MV,Mountain View,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/6/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/6/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/7/2022,,OK,Oakville,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/7/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_449 FISHING ROD&TACKLE #3-TU,Fishing Kit,1,K-FISHING
2022,5/10/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/10/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/10/2022,,WO,West Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/10/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/10/2022,,NM,North Mason,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/10/2022,,TU,Tumwater,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/10/2022,,WO,West Olympia,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,2,B-WA
2022,5/10/2022,,WO,West Olympia,,J 590 SIRETT,Unknown,1,
2022,5/11/2022,,HO,Hoquiam,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/11/2022,,IL,Ilwaco,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/11/2022,,OP,Ocean Park,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/11/2022,,SC,Unknown,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/11/2022,,EL,Elma,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/11/2022,,SC,Unknown,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/11/2022,,LA,Lacey,Fishing Rod and Tackle Box,KIT TRL_635 FISHING ROD&TACKLE #1-LA,Fishing Kit,1,K-FISHING
2022,5/13/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/13/2022,,IL,Ilwaco,,KIT NATURE BACKPACK 2018,Nature Backpack,1,
2022,5/14/2022,,HA,Hawks Prairie,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/14/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,5/16/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/17/2022,,HO,Hoquiam,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/17/2022,,HA,Hawks Prairie,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/17/2022,,NM,North Mason,Explore your forest! backpack,KIT EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/17/2022,,OP,Ocean Park,Yellow Glare Polarized Shield Glasses,KIT YELLOW GLASSES #4 2019,Sunglasses,1,K-WATAP
2022,5/18/2022,,MO,Unknown,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/18/2022,,HA,Hawks Prairie,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/18/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/18/2022,,MS,Montesano,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/19/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
2022,5/20/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/20/2022,,YE,Yelm,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/20/2022,,SB,South Bend,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,5/21/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/21/2022,,TU,Tumwater,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/21/2022,,WO,West Olympia,Explore your forest! backpack,KIT EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/23/2022,,CE,Centralia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/23/2022,,LA,Lacey,Fishing Rod and Tackle Box,KIT TRL_512 FISHING ROD&TACKLE #3-LA,Fishing Kit,1,K-FISHING
2022,5/24/2022,,CH,Chehalis,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/24/2022,,OP,Ocean Park,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,5/24/2022,,LA,Lacey,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/25/2022,,IL,Ilwaco,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/25/2022,,OP,Ocean Park,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/25/2022,,IL,Ilwaco,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/25/2022,,OL,Olympia,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/25/2022,,IL,Ilwaco,Explore your forest! backpack,KIT EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/25/2022,,MV,Mountain View,Fishing Rod and Tackle Box,KIT TRL_985 FISHING ROD&TACKLE #1-MV,Fishing Kit,1,K-FISHING
2022,5/26/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/26/2022,,TO,Toledo Kiosk,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/26/2022,,YE,Yelm,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/26/2022,,SB,South Bend,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
2022,5/26/2022,,TO,Toledo Kiosk,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/26/2022,,SA,Salkum,,JCK BILINGUAL JUNIOR CONNECT,Out of circulation,1,
2022,5/27/2022,,SH,Shelton,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/27/2022,,HA,Hawks Prairie,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/27/2022,,OK,Oakville,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/28/2022,,AB,Aberdeen,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/28/2022,,AB,Aberdeen,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,5/28/2022,,CE,Centralia,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/31/2022,,MO,Unknown,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/31/2022,,OP,Ocean Park,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,2,B-BIRDING
2022,5/31/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,5/31/2022,,RA,Raymond,Explore your forest! backpack,KIT-J EXPLORE-YOUR FOREST BACKPACK,Nature Backpack,1,B-HIKING
2022,5/31/2022,,HO,Hoquiam,Pocket Talker Pro,KIT POCKET-TALK #2 2020,Accessibility Device,1,K-WATAP
2022,6/1/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/1/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/1/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/1/2022,,LA,Lacey,Fishing Rod and Tackle Box,KIT TRL_457 FISHING ROD&TACKLE #2-LA,Fishing Kit,1,K-FISHING
2022,6/1/2022,,CE,Centralia,,KIT WATAP HOUSEHOLD #7  2010,Accessibility Device,1,
2022,6/1/2022,,CE,Centralia,,KIT YELLOW GLASSES #5 2019,Sunglasses,1,
2022,6/2/2022,,HO,Hoquiam,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/2/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
2022,6/2/2022,,HA,Hawks Prairie,Fishing Rod and Tackle Box,KIT TRL_570 FISHING ROD&TACKLE #2-HA,Fishing Kit,1,K-FISHING
2022,6/3/2022,,LA,Lacey,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/3/2022,,CE,Centralia,,KIT TV-LISTENER AMPLIFIER #2 2019,Accessibility Device,1,
2022,6/4/2022,,TU,Tumwater,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/4/2022,,IL,Ilwaco,Columbia River Maritime Museum Passes /,MUSEUM-PASS #01,Museum Pass,1,POLICY NOT FOUND
2022,6/5/2022,,WO,West Olympia,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,2,B-WA
2022,6/6/2022,,LA,Lacey,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/6/2022,,NA,Naselle,Columbia River Maritime Museum Passes /,MUSEUM-PASS #02,Museum Pass,1,POLICY NOT FOUND
2022,6/7/2022,,OK,Oakville,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/7/2022,,MV,Mountain View,,J 590 SIRETT,Unknown,1,
2022,6/8/2022,,CE,Centralia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/8/2022,,TU,Tumwater,Fishing Rod and Tackle Box,KIT TRL_376 FISHING ROD&TACKLE #2-TU,Fishing Kit,1,K-FISHING
2022,6/9/2022,,YE,Yelm,Checkout Washington! Adventure Pack,KIT CHECKOUT WASHINGTON PACK,Checkout WA Pack ,1,B-WA
2022,6/9/2022,,HA,Hawks Prairie,Fishing Rod and Tackle Box,KIT TRL_562 FISHING ROD&TACKLE #1-HA,Fishing Kit,1,K-FISHING
2022,6/10/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
2022,6/10/2022,,TU,Tumwater,Guitalele,INSTRUMENT GUITALELE +BAG,Musical Instrument,1,K-INSTRUM
2022,6/11/2022,,OL,Olympia,Birding Backpack,KIT BIRDING BACKPACK,Nature Backpack,1,B-BIRDING
